CustomerID,Recency,Frequency,Monetary,TenureDays
12346,332,2,5342.4,0
12347,8,7,431501.0,365
12348,81,4,82378.47,282
12349,25,1,176075.12,0
12350,316,1,48173.37,0
12352,42,11,241567.46,260
12353,210,1,4357.89,0
12354,238,1,161522.49,0
12355,220,1,37648.28,0
12356,29,3,161617.98,302
12357,39,1,366359.39999999997,0
12358,8,2,39673.670000000006,149
12359,14,6,672864.29,323
12360,58,3,306242.38,148
12361,293,1,30437.8,0
12362,9,13,688511.11,292
12363,116,2,53756.56,132
12364,14,4,215049.54,104
12365,297,3,59638.3,0
12367,10,1,25839.440000000002,0
12370,57,4,417753.02999999997,309
12371,51,2,167307.32,14
12372,78,3,115169.81,224
12373,317,1,28312.370000000003,0
12374,31,1,66577.75,0
12375,9,3,36360.4,95
12377,321,2,164885.7,39
12378,136,1,604145.45,0
12379,88,3,105708.76,88
12380,28,5,283392.46,164
12381,11,6,206368.76,115
12383,191,6,222610.77,167
12384,35,3,66557.46,92
12386,344,2,28316.56,29
12388,22,6,252667.99,311
12390,86,1,66785.3,0
12391,28,1,253598.89,0
12393,78,4,178735.91,260
12394,70,2,60148.57,153
12395,22,15,427347.96,355
12397,42,2,278068.08999999997,99
12398,52,1,204266.06,0
12399,125,4,158016.72,142
12401,309,1,17283.4,0
12402,329,1,36552.16,0
12403,56,2,13749.32,0
12405,155,1,122187.79000000001,0
12406,28,3,310029.79,161
12407,56,5,186352.68,214
12408,39,9,253373.33,227
12409,85,7,324698.54,103
12410,307,3,61744.66,7
12412,81,3,159888.55000000002,94
12413,73,5,109854.74,270
12414,223,3,55774.39,93
12415,30,26,1944187.0,313
12417,9,12,532728.74,354
12418,119,1,108728.73,0
12420,70,1,60791.87,0
12421,22,5,120314.6,303
12422,102,3,89740.0,229
12423,7,9,299025.94,352
12424,169,2,66385.45,0
12425,84,1,101635.55,0
12426,201,1,64423.78,0
12427,18,5,105999.6,360
12428,32,12,780310.63,257
12429,15,4,219920.34,356
12430,49,1,13697.39,0
12431,42,18,541433.7,338
12432,49,5,306154.57,129
12433,7,7,1041010.62,372
12434,91,4,152672.79,276
12435,86,2,101148.54,188
12436,106,1,37832.96,0
12437,8,19,517110.85,329
12438,20,2,272767.92,125
12441,373,1,40781.32,0
12442,9,1,21563.65,0
12444,27,5,456209.69,149
12445,28,1,9383.41,0
12446,64,1,112599.03,0
12447,249,1,66037.09,0
12448,50,1,55133.65,0
12449,28,4,445251.36,164
12450,162,2,20098.9,17
12451,17,6,817653.44,313
12452,23,3,42101.1,0
12453,140,1,119409.38,0
12454,59,2,82346.66,2
12455,79,6,229091.6,223
12456,50,4,382840.43,210
12457,64,12,179996.08,180
12458,77,2,87334.81,213
12461,100,2,93725.56999999999,60
12462,8,4,196093.01,300
12463,52,7,247879.52,195
12464,16,8,60952.03,299
12465,14,3,111615.44,161
12468,149,3,104308.31,173
12471,8,49,1351390.04,370
12472,37,13,927503.2,342
12473,35,9,467491.63,162
12474,23,30,1198462.21,351
12475,60,1,82538.12,0
12476,7,20,671115.8,359
12477,29,9,799397.41,288
12478,10,1,100444.79,0
12479,10,3,99937.72,7
12480,34,4,390183.74,307
12481,29,11,567524.67,342
12483,23,13,198902.62,322
12484,39,8,856352.98,303
12488,16,3,116253.34,65
12489,342,1,30462.03,0
12490,11,10,630004.55,324
12491,45,1,58867.68,0
12492,69,2,45247.52,42
12493,172,3,58920.39,31
12494,16,13,214807.05,355
12497,88,1,46060.87,0
12498,27,3,55777.82,36
12500,29,13,159061.43,310
12501,321,2,432544.63,21
12502,102,5,369357.34,214
12503,344,1,984.5999999999999,0
12504,24,4,43814.619999999995,12
12505,307,1,4735.36,0
12506,239,1,66333.0,0
12507,140,4,56400.76,164
12508,32,2,172952.53,2
12509,290,1,33776.46,0
12510,149,2,77315.62,182
12512,72,2,64773.0,0
12513,91,2,96874.05,28
12514,273,1,108784.52,0
12515,359,1,26832.8,0
12516,84,2,63849.31,102
12517,34,6,751369.44,161
12518,7,5,340254.36,109
12519,70,1,45401.06,0
12520,85,6,455111.95,194
12521,149,1,91236.31999999999,0
12522,45,2,31564.38,12
12523,8,13,257626.78,330
12524,15,8,389618.3,324
12526,7,3,165732.83,93
12527,88,3,57273.36,243
12528,15,8,241009.11,303
12530,66,5,167080.12,277
12531,21,1,37309.4,0
12532,36,1,36965.63,0
12534,137,1,145122.73,0
12535,98,2,76617.2,94
12536,14,5,655384.95,51
12538,35,1,49731.35,0
12539,28,5,644016.77,311
12540,26,19,1123549.76,342
12541,36,3,118408.69,251
12544,36,2,57648.64,6
12545,81,2,130607.94,184
12546,53,3,177828.01,31
12547,204,2,25398.379999999997,82
12548,172,1,16300.9,0
12550,85,1,138743.17,0
12551,364,1,25556.19,0
12552,45,2,43372.18,0
12553,14,14,521494.22,321
12556,56,2,346168.37,100
12557,22,5,66441.35,355
12558,8,2,50578.490000000005,5
12559,317,3,57244.44,8
12560,11,4,271122.07,137
12561,309,1,68068.38,0
12562,14,7,489463.93,190
12564,267,1,51285.32,0
12565,288,2,25933.36,7
12566,79,2,56563.92,13
12567,29,11,1236543.23,346
12569,8,35,477301.68,250
12571,46,2,71284.35,81
12572,15,3,145601.35,43
12573,233,1,61040.44,0
12574,322,1,33392.729999999996,0
12576,42,6,207386.9,268
12577,41,4,337343.36,323
12578,27,4,298317.01,317
12579,79,3,80314.2,4
12580,253,1,48780.4,0
12581,46,1,39834.61,0
12582,245,2,44363.11,49
12583,9,18,547510.4,370
12584,10,18,327275.04,276
12585,240,4,219493.55,117
12586,23,2,32467.56,351
12587,14,1,6867.8099999999995,0
